"sentence","tag"
"desk dressing table room, mirror small shelf attached difficult sit dry hair makeup. small breakfast portion price.","Facilities"
"breakfast great, breakfast staff wonderful. restaurant offered lovely dinners inroom dining. lobster soup, wonton soup, really delicious.","Facilities"
"taking little long invoice, thats really thing. basic improved.","Facilities"
"room clean. staff department super friendly efficient.","Facilities"
"food quality striat kitchen, breakfast lunch, improved.","Facilities"
"room just devine, food restaurant incredible. faults all.","Facilities"
"place amazing. fantastic night stay.","Facilities"
"good facilities good location","Facilities"
"property beautiful poolspa facilities amazing. however, staff amazing part. kind thoughtful.","Facilities"
"excellent facilities great location","Facilities"
"expensive","Facilities"
"beautiful hotel, spacious rooms, comfortable appointed, staff courteous helpful, nice dinner straits kitchen restaurant. heart london location great.","Facilities"
"beautiful location, facilities spacious","Facilities"
"staff overbearing. relax ask need interrupt having conversation. privacy discretion pay places like this.","Facilities"
"facilities room staff","Facilities"
"hotel immaculate attentiveness staff wonderful, bearing need them. ate restaurant food excellent, portions bad feel restaurant obnoxious played. room excellent, clean tidy comfy bed, little touches welcome snack lovely feel welcomed indeed.","Facilities"
"decided breakfast away property 32 english 20 liking.","Facilities"
"1. decor 2. service 3. size room 35 sm 4. quality food drinks 5. amazing indoor pool impressive ambiance plus amazing gym 6. ms. xinchen guest relationship. 7. desk team members 8. concierge 9. liverpool street station 3 min walk, access lines, inclusive elizabeth line. 10. restaurants different cuisines, standard,","Facilities"
"needed extend way initially handled staff member guest relationship poor. thereafter, ms. xinchen smooth me.","Facilities"
"convenient location. impeccable facilities service. swimming pool gem","Facilities"
"modern central nice rooms","Facilities"
"bit bureaucratic confusion deposit breakfast bit crowded","Facilities"
"location just needed room quiet staff excellent","Facilities"
"clean, roomy, great pool spa. unique asian food options. big rooms. great interior design.","Facilities"
"pillows little uncomfortable.","Facilities"
"amazing, friendly staff, rooms restaurants","Facilities"
"fantastic","Facilities"
"exceptional service great location","Facilities"
"location, staff, facilities, food expect.","Facilities"
"nothing!","Facilities"
"breakfast tables required buffet breakfast","Facilities"
"perfect. lovely friendly staff. nice lots little personal touches.","Facilities"
"great location.","Facilities"
"hotel location fantastic located near lpool street offers multiple train options. staff extremely friendly them. bedroom bathroom size generous view 19th floor exceptional.","Facilities"
"spa swimming pool area far hot humid air circulating, 20 minutes relaxing.","Facilities"
"beautiful hotel great spa gym. rooms modern luxurious.","Facilities"
"menu little limited.","Facilities"
"clean comfortable","Facilities"
"friendly staffs . specially cleaning room staff ! professional !","Facilities"
"windows dirty .","Facilities"
"afternoon tea cancelled day asked said speak restaurant didnt asked restaurant gentleman spoke didnt listen kept repeating thing. happy","Facilities"
"clean, friendly staff, great breakfast, nicely decorated rooms earthy colours","Facilities"
"spacious given anniversary, staff sweet prepare goodies celebrate us. thanks david! located near liverpool station convenient youre leaving airport underground lines travel well.","Facilities"
"amazing hotel worth penny. exceptional customer service shown warm welcoming arrival. room clean neat let feel previously exceeded expectation","Facilities"
"room lovely super spacious, accessability room problem open showers spray room huge bathroom lovely.","Facilities"
"clean, spacious great facilities","Facilities"
"bit pricy windows unclean, outside properly view.","Facilities"
"felt like guest staying hotel. staff attentive kind","Facilities"
"lack bidet washroom","Facilities"
"staff really friendly helpful. views great. bedroom clean, comfortable large. swimming pool area lovely. location fantastic.","Facilities"
"great stay pan pacific. great location, rooms, facilities service. highly recommended","Facilities"
"service","Facilities"
"staff pan pacific exceptional. attention making feel welcome unique really surprised us, hotel 5. desk, restaurant staff, bar staff door people, service 1010. room decor building great fooddrink class.","Facilities"
"liked size rooms compared london hotels","Facilities"
"dont packing service food good location far places","Facilities"
"spa location excellent","Facilities"
"sauna steamroom changing room join partner","Facilities"
"service, ambience, room, hospitality, extra care taken checkin. faulted.","Facilities"
"stayed sons prewedding night just corner wedding venue . wrong booking kindly upgraded extra expense happily accepted. came check out, said upgrade fee covered hotel, special day us. lovely! service superb, breakfast choice room comfortable delightful view wedding venue! communication hotel right stay great. fault hotel worth rating.","Facilities"
"hotel beautiful","Facilities"
"spa","Facilities"
"decor cleanliness newness","Facilities"
"staff better , understand speaking english checked","Facilities"
"clean","Facilities"
"service charge","Facilities"
"location","Facilities"
"say","Facilities"
"best value money class. spacious room great facilities. housekeeping help fold clothes. thoughtful missing gave martens toothpaste. hainan chicken rice best london, inroom hotel restaurant.","Facilities"
"sauna locker room spa, room tiny sauna crowded. asked desk booking spad guy desk looked unconcerned told responsible needed ask myself.","Facilities"
"love pan pacific beautiful hotel staff amazing professional ask better service","Facilities"
"beautiful bedrooms comfortable designed. serviced twice day complimentary water bathroom amenities replenished. great location just steps liverpool street station.","Facilities"
"5 service fee applied room rate. knew queried room charge checkout bit expected confirmation booking.com. hidden did separate entry invoice. removed request easy guests realise pay.","Facilities"
"room, position, general ambiente pool area.","Facilities"
"classy! really enjoyed stay.","Facilities"
"high standard service facilities.","Facilities"
"great!","Facilities"
"room fantastic, super comfortable great views london. staff kind courteous, wellness area great relaxing, breakfast superb!","Facilities"
"design hotel amazing. rooms phenomenal generous amenities. staff pleasant, extremely helpful attentive. overall luxurious experience.","Facilities"
"food expensive","Facilities"
"nice big rooms","Facilities"
"lights switch moving room.","Facilities"
"stellar hotel. iconic views londons skyline! taken care provide comfort guest. catering high quality staff just wonderful! pool major plus.","Facilities"
"love hotel. financial district 2 stops theatre land. great vibe area. lovely places eat. hotel excellent. really comfy rooms fantastic staff. choice place stay now.","Facilities"
"breakfast expensive. t really worth money.","Facilities"
"child friendly","Facilities"
"excellent staff superb service","Facilities"
"perfect service ambiance, located near liverpool street station pleasant people hotel! really perfect stay kids","Facilities"
"really nice atmosphere, warm inviting. room huge decorations ordered. nice controls room tv massive. views nice","Facilities"
"hidden chargers , 100 deposit arrive, 5 room service delivery fees 12.5 service charge absolutely everything. tried charge 2 breakfast service charge room charge didnt order left 8 100 deposit really soured end trip felt like trying money.","Facilities"
"amazing room, amazing pool, great location","Facilities"
"changing room pool. hair dryer didnt work. body lotion. swimsuit dryer didnt work.","Facilities"
"excellent location, friendly, helpful staff clean. got room set happy birthday cake too.","Facilities"
"topper bed thats personal preference. complaints, really wonderful hotel.","Facilities"
"atmosphere.","Facilities"
"tv awkward position watch. hot tub.","Facilities"
"service 1010. staff friendly accommodating request. facilities modern clean. room prepared highest standards.","Facilities"
"location rooms beautiful hotel charge 2times book 4nights charge 8nights. told takes 5 8 days money back. taking money card. did speak told sistem mistake. worse experience had.","Facilities"
"notning!","Facilities"
"start finish experience hotel notch. staff extremely friendly helpful. pay close attention details. example, received bottle champagne gift asking it, housekeeping noticed provided ice evening. gym fully equipped honestly best ive seen. room comfortable especially bed location superp5 minutes away liverpool street station. definitely return visiting london","Facilities"
"looked aesthetically pleasing felt peaceful whilst there.","Facilities"
"hotel beautiful. staff friendly extremely polite wife.","Facilities"
"paid lot money room view city. got room 18th floor unfortunately arrived windows disgusting. little visibility. complete waste extra money view. ordered takeaway asked set plates cutlery. staff said bring waited 20 minutes ready ask plates unfortunately leadving food cold","Facilities"
"location rooms","Facilities"
"didnt like","Facilities"
"amazing stay pan pacific, staff professional personable, making experience extremely memorable. hotel remembered celebrating special occasion, sure way feel pampered, indulged, complimentary desserts attention manners. thank you! definitely visiting again.","Facilities"
"staff excellent! friendly bellmen, desk staff, housekeeping room service staff. room immaculate! room design beautiful contemporary classy rich tones. room service options superb! food delivered timely manner, displayed dining restaurant. quality cocktails quality inventive. hotels location walking distance liverpool station, convenient exploring city.","Facilities"
"didnt want leave. wish extended stay days enjoy beautiful facilities delicious food. theres fault property staff!","Facilities"
"staff amazing. bathroom gorgeous.","Facilities"
"bed comfortable. brought topper me. helped some. think need invest higher quality mattresses. also, extremely limited storage belongings.","Facilities"
"impeccable service, perfect location ideal room family.","Facilities"
"good service helpful staff","Facilities"
"stayed lower standard room visit, lovely decor minus bath tub shocked mattress sunken need change. surprisingly obvious soon sat bed, taken aback. id expect hotel standard, charging rates do, care ensure shortcomings promptly addressed. reported reception staff check out. hope action taken. encounter future visit, annoyed.","Facilities"
"amazing space. decor calming products good quality gym spa space equipped. location great working city.","Facilities"
"food choice bars, salads","Facilities"
"bed , shower staff good . frederico hotel bar excellent .","Facilities"
"burger order late evening room service shocking , dry inedible pay delivered desk card details stayed times previously . guess arent trusting","Facilities"
"location service staff","Facilities"
"room nice. asked repair suit trousers, accommodating didnt charge! pool lovely, times went use ourselves. views exceptional, slept curtains open nights!","Facilities"
"price paid, breakfast included room instead pay 36 each. didnt believe breakfast provided worth price either.","Facilities"
"2nd time staying usual breakfast great pool beautiful.the staff friendly helpful definitely come 3rd time.","Facilities"
"staff facility class. room spacious modern really like. work trip thing id say work trip using zoom room lights dont allow great call, specific know","Facilities"
"amazing breakfast class im easy pleased","Facilities"
"room expected pan pacific. excellent amenities room, including coffee machine.","Facilities"
"furious regards breakfast situation. having checked room reception, advising pay breakfast separately. arriving breakfast issue checked breakfast. shown table breakfast restaurant, informed breakfast buffet. colleague limited time buffet ideal, instead order menu, items didnt necessarily prefer. ushered small section restaurant, mobile serving station wheeled entranceexit buffet area restaurant larger huge buffet station. angry left pan pacific.","Facilities"
"amazing property.","Facilities"
"nothing, amazing.","Facilities"
"everything. beautiful hotel staff excellent clean beautiful rooms lovely views breakfast delicious","Facilities"
"fault","Facilities"
"location, room, ambient absolutely amazing.","Facilities"
"personnel breakfast new, little disorganised inefficient.","Facilities"
"loved aesthetic hotel especially infinity pool immediate service received arrival. special mention tia desk making check process seamless kerubu oluronbi","Facilities"
"location staff facilities","Facilities"
"rate rooms high comparing room size","Facilities"
"service excellent. staff you.","Facilities"
"room lovely, staff friendly.","Facilities"
"didnt really feel like spa spa changing rooms meaning use together. treatment rooms heated beds comfy towels. ripped towels expected priced hotel","Facilities"
"beautiful large room, immaculate throughout, fluffy robes, stunning indoors heated pool, amazing afternoon tea, polite helpful staff, great range high quality priced food choices, high spec gym, fantastic location just opposite underground loads restaurants bars around. great care kids personalised welcome. loved it.","Facilities"
"bit storage space room","Facilities"
"staff, view comfortable room.","Facilities"
"loved hotel! bed extremely comfortable, pillows amazing, rooms clean, staff friendly helpful! absolutely amazing surely visit again!","Facilities"
"wasnt didnt like.","Facilities"
"nice staff professional comfortable location","Facilities"
"swimming pool, saunas accessible just man women appropriate changerooms, dedicated spa time just adults, prompt room service, quite location","Facilities"
"nothing, overall satisfy","Facilities"
"great building location. loved pool","Facilities"
"inconsistent service. attempts correct drinks. ordered champagne bar, white wine arrived. good price level","Facilities"
"lovely hotel","Facilities"
"pool quite cold","Facilities"
"great location, friendly staff. comfy bed pillows. room clean. provided bath robes slippers kids.","Facilities"
"great service. lovely pool","Facilities"
"breakfast price little exciting nice","Facilities"
"excellent facilities round, decor stunning smells amazing. walk in, feel million pounds. staff lovely greeted huge smiles faces. huge shout goes hamid genuinely went beyond. biggest highlight deluxe room city views. rooms really spacious decorated perfection. bathrooms genuinely worth penny booking, heated floors, massive sinks refreshing showers worth it.","Facilities"
"charged deposits, told aware. didnt affect nice warning payment taken didnt money account? secondly, leaving, staff noticed bags person opted help packing car. help expect 5 hotel.","Facilities"
"room view absolutely astonishing! service having drop evening, open bed, close curtains line slippers foot bed appreciated. wow! effect entering room time having curtains opening automatically reveal fantastic view! lights automatically turn entering room. great! bathroom exceptional door separating toilet rest bathroom appreciated rare.","Facilities"
"really clean nice views bedroom.","Facilities"
"spa facilities does hot tub","Facilities"
"loved stay.","Facilities"
"english breakfast bread basket burnt bread.","Facilities"
"special touches staying celebration. good communication. friendly respectful staff.","Facilities"
"expected nicer view room","Facilities"
"service","Facilities"
"didnt include breakfast 600 rate","Facilities"
"everything! really, weve liked pan pacific. time breakfast really improved stayed mornings hotel. staff set thoughtful anything.","Facilities"
"2nd time staying . best hotel weve stayed london","Facilities"
"great location, attentive welcoming staff. stay use pan pacific london.","Facilities"
"absolutely minute entered staff excellent attentive. turn service little touches room. really loved it. beautiful hotel.","Facilities"
"outside windows room needed cleaning ruined view little. felt toilet paper nicer quality too. pool quite cold think little warmer able really enjoy it. minor issues slight faults stay.","Facilities"
"everything. stayed times immaculately clean extremely comfortable. staff courteous, helpful professional. location works choose eat know excellent.","Facilities"
"nothing.","Facilities"
"lovely bathrooms amenities.. fantastic view","Facilities"
"ac kept coming automatically room little cold.. switch manually time..","Facilities"
"little touches. equipment room ice room night quality extent toiletries.","Facilities"
"quality food service","Facilities"
"architecture interior design extremely impressive! husband extremely pleased service staff, especially hamid went make feel welcomed. bed super comfortable just did want leave.","Facilities"
"lovely comfortable large bed. festive afternoon tea delicious, buffet breakfast. excellent service.","Facilities"
"tea coffee slow morning. excellent.","Facilities"
"excellent","Facilities"
"perfect location. excellent service!!! lovely modern light decor!! felt extra special partners 50th birthday !","Facilities"
"absolutely beautiful hotel. peaceful staff really nice, professional helpful. beds comfortable lovely bathrooms good size.","Facilities"
"honest.","Facilities"
"choices breakfast! fantastic swimming pool relax! asian vision london!","Facilities"
"went friends, upgraded room stayed normal room. ironically maid service asking needed came evening slippers bed, however, upgraded, didnt this.. raied management repsonded positively. hotel exceptional aspects.","Facilities"
"room expensive was. stay cheval keys better value money.","Facilities"
"beautiful hotel. felt like 5 star. friendly staff. comfortable rooms. good views. great location us.","Facilities"
"quite expensive. breakfast expensive ate out.","Facilities"
"beautiful rooms, fab spa area staff extremely polite helpful.","Facilities"
"dislike.","Facilities"
"location business city london unbeatable excellent location road liverpool st. rooms large london standards extremely appointed, dont feel cramped.","Facilities"
"ive given property 810. firstly, excellent hotel think 450500 night pretty high. secondly, billing process quite frustrating. amounts held account experience actually charged incidentals billed check meaning youre left waiting substantial refunds instance 800. wrong checked identified leaving. shouldnt complicated.","Facilities"
"hospitality exceptional. staff went look us.","Facilities"
"luxurious quality. stayed night birthday celebration staff us. harry, tia hazel really friendly helpful. youre looking luxury, stay here.","Facilities"
"nothing, stunning","Facilities"
"class service staff","Facilities"
"n","Facilities"
"just fantastic hotel.","Facilities"
"price breakfast coffee breakfast included. gym small big hotel.","Facilities"
"separate toilet shower room. 2 tvs. length mirror. contemporary design","Facilities"
"bidet. huge corridor wasted lot space.","Facilities"
"fresh, modern, maintained","Facilities"
"added hidden 5 extra service charge gave bad ending stay prices. felt like scam","Facilities"
"everything! amazing staff, friendly guests. great facilities. fab kids given city hotel. like. biggest thanks, back!","Facilities"
"everything! room perfect perfect view city! probably times ive slept hotel. gym pool far best ive used! service received staff exceptional! thank lovely gentleman took bags room.","Facilities"
"complaints all.","Facilities"
"clean professional excellent staff","Facilities"
"lack fresh air","Facilities"
"super clean happy everything! upgraded city view room honeymoon. service impeccable hotel impeccable.","Facilities"
"everything!! ask staff. ill definitely back.","Facilities"
"view, quality products room. bar ginger lily excellent breakfast good.","Facilities"
"beautiful, spacious room! price bad london size room. staff incredibly helpful friendly. amenities unusually luxurious.","Facilities"
"restaurant serves good food ridiculously overpriced.","Facilities"
"got upgraded celebrating birthday great, day staff amazing really attentive","Facilities"
"night staff really rude frankly ruined experience. night porter rude pressing buzzer come hotel got annoyed left card room. appreciate mistake paying 400 plus night expect let building im accidentally locked out. told night staff ac wasnt working didnt really explanation time. returned told iv waited hour. didnt sleep 3am honestly wouldnt recommend staying anyone. wanted make make special partner feel like completely ruined","Facilities"
"great location close liverpool station. hotel modern rooms beautifully decorated. spa facilities lovely","Facilities"
"amazing stay amazing staff","Facilities"
"singaporean hospitality","Facilities"
"checkin lady provided information hotel check in. breakfast locationhours. spacesfacilities guests enjoycheckout time","Facilities"
"everything, certainly return","Facilities"
"lovely experience throughout, friendly staff, lovely room great pool area","Facilities"
"staff amazing","Facilities"
"location","Facilities"
"location fantastic. good connection liverpool street station tube rails. direct train heathrow using elizabeth line. short walk spitafields market, choices food nearby. room really comfortable.","Facilities"
"everything. properties facilities amazing, staff were, helpful, friendly attentive.","Facilities"
"great location, nice room! love toiletries provide","Facilities"
"lovely hotel excellent staff","Facilities"
"everything. room spacious finished high standard. pool amazing.","Facilities"
"view, cleanliness, room","Facilities"
"main selling point hotel proximity liverpool city train station nearby markets.","Facilities"
"main detraction hotel uncomfortable sagging bed matrass soft pillows, continues chief complaints hotel, stayed hotel previously. pic bed. actually center sagged noticeably. think hotel rated 5 star charging fairly high premium guest prices better job getting better quality bed matrasses guests.","Facilities"
"excellent hotel, staff, room impecable, bathroom amenities 5 stars! room service great","Facilities"
"service staff best representations luxury hotel offering. want spend days exploring east london, location second none. room size genuinely bigger.","Facilities"
"weekend brunch hotel short la crate menu, having buffet.","Facilities"
"rooms superb. service hotel exceptionally good.","Facilities"
"delivered expectations","Facilities"
"end fee employees invoice. kindly inform ask remove again. europe try make sure payed work dont ask customers pay employees, apparently island folks think differently. guarantee money really goes nice people brought better pillow, helped taxi,... strange island.","Facilities"
"room extremely comfortable, great attention single detail. service flawless friendly. view amazing, room super equipped beautifully designed. far best hotel experience london. sure absolutely loved staying here!!","Facilities"
"breakfast nice, price expected better. waited coffee tea arrive long time, just arrived finished eating.","Facilities"
"location","Facilities"
"optional service charged telling","Facilities"
"location facilities","Facilities"
"issues","Facilities"
"love hotel.","Facilities"
"friendly staff. good location opposite liverpool street station. rooms large london standards clean.","Facilities"
"lobby gets little busy day.","Facilities"
"small touches stay special, wedding anniversary staff feel special got free room upgrade got room evening, surprise cake waiting us. pool facilities lovely, rooms beautiful breakfast tasty. definitely future","Facilities"
"location staff","Facilities"
"mattress wasnt comfortable, negative","Facilities"
"given breakfast la cart menus staff approached order offer coffee. waited 10min left breakfast town. recommend cross check final invoice hidden charges tried overcharge us.","Facilities"
"beautiful appointed room. delicious room service. kids enjoyed swimming pool. location public transport gives great access londons sights. staff fantastic probably best london.","Facilities"
"great location","Facilities"
"breakfast expensive","Facilities"
"great location, great hotel, quiet nice. super breakfast, good gym. new favorite business hotel london!","Facilities"
"minor thing staff breakfast restaurant straits bit hectic waited 15 minutes check, wrong redo it. wrong service attitude friendliness just people guests andor poorly organized.","Facilities"
"room amazing. great view, clean quiet. really enjoyed spa. hamid sure exceptional stay here. great location near liverpool street station.","Facilities"
"experience","Facilities"
"wasnt didnt like","Facilities"
"lovely place easy liverpool street","Facilities"
"emily reception excellent nikita barman ginger lounge,also manager harry barker brilliant.","Facilities"
"comes mind.","Facilities"
"beautiful world class property incredible facilities. staying pan pacific holiday itself. helpful staff takes care detail.","Facilities"
"stay days longer","Facilities"
"hands best hotel ive stayed london 20 times","Facilities"
"unfortunately steam sauna maintenance hey, happens. loud kids pool 9 bit disappointing end world. kid that, kids time 9am maybe make sure pool staff bit stricter.","Facilities"
"good location, close tube stop. room beautiful quiet. staff s exceptional.","Facilities"
"location bit far lively parts london","Facilities"
"excellent place, hôtel beautifull. emily office professional, kind helpfull. pool amazing.","Facilities"
"final invoicel regading breakfast à bit confusing, taking à la carte buffet calculated. haveasked wasnt possible it.","Facilities"
"really close liverpool street easily accessible. wellness centre phenomenal. anniversary beautiful room. personal touches lovely.","Facilities"
"dinner straights kitchen night. nice, overpriced food offered. that, absolutely amazing.","Facilities"
"arrived greeted friendly staff, took bags straight away. partners birthday graciously upgraded room, addition cake waiting arrival room! views room astonishing, hotel staff really special occasion!","Facilities"
"staff amazing birthday staycation remember","Facilities"
"think bigger table suite living thats amazing","Facilities"
"cleanness style","Facilities"
"fine","Facilities"
"loved stay! staff great especially hamid! stay","Facilities"
"honestly best hotels london","Facilities"
"rooms modern, clean facilities amazing. room large 4 people room. beds large comfortable bathroom... start? amazing. staff great kids location great.","Facilities"
"tourists spending time kensington, commute annoying, knowing coming nice, large, clean modern hotel rare london okay.","Facilities"
"reception area, restaurants, rooms exceptionally welldesigned. friendliness professionalism staff best ive experienced london. however, 5star hotel, high standards didnt surprise me. truly blew away training facilities outstanding!","Facilities"
"well, minibar wasnt effectively cooling beverages know, firstworld problem.","Facilities"
"amazing hotel, gorgeous decor ambience incredible staff. pool gorgeous love specific adults time. cocktails lovely afternoon tea incredible. 10th august way 5pm wonderful concierge called hamid incredibly helpful. went help query staff lovely particularly amazing.","Facilities"
"amazing.","Facilities"
"really cared particular grand children","Facilities"
"room","Facilities"
"staff breakfast slow. ask times tea coffee arrived. breakfast average 5 hotel. like 3 hotel breakfast.","Facilities"
"perfect location, large comfortable rooms, great food staff excellent.","Facilities"
"great hotel, staff location","Facilities"
"male hamam order spa facilities improved","Facilities"
"wonderful stay. room, shower facilities like pool perfect. staff friendly helpful.","Facilities"
"thing really didnt like received end stay, noticed higher night booking information. mentioned this, said included 5 service charge. told wanted pay agreed upon, changed night was. know hotels restaurants london add service charge. time wasnt stated extra, just added night, way notice, know exactly youre supposed pay. felt bit deceived","Facilities"
"beautiful modern hotel, entering room lights came curtains open automatically room amazing view. staff attentive turn service greatly appreciated.","Facilities"
"occasions went breakfast hotel ordered things didnt arrive.","Facilities"
"property beautiful inside out. room amazing actually ended getting upgrade weekend special.","Facilities"
"location good, 5 minutes walk liverpool station, restaurants near by. staff friendly helpful. facilities nice classy room comfortable class","Facilities"
"clean, beautiful, spacy convenient area","Facilities"
"non","Facilities"
"beautiful","Facilities"
"great","Facilities"
"everything!!!","Facilities"
"nothing, perfect!","Facilities"
"everything, amazing room, amazing shower, fantastic pool sauna, friendly staff.","Facilities"
"wonderful facility great staff excellent location","Facilities"
"hotel like brand new spacious rooms nice views","Facilities"
"bit far center near lot attractions like london eye walki talki building","Facilities"
"staff nice. hotel new. rooms spacious","Facilities"
"bit inconvenient private parking hotel. park nearest neighborhood.","Facilities"
"new","Facilities"
"perfect location, big cozy rooms, great mini bar, nice pool","Facilities"
"rooms smoking smell didnt ask change complaints","Facilities"
"staff friendly attentive, tried make stay special received service like long time.","Facilities"
"steam room showers pool issue.","Facilities"
"room accommodation exceeded expectations. clean, .modern ,spacious room. located great area surrounded plenty shops restaurants. walking distance tower hill area. close elizabeth metro line.","Facilities"
"hard negative say.","Facilities"
"best hotels ive stayed excellent.","Facilities"
"great pool area, large room, staff welcoming provided complimentary birthday cake.","Facilities"
"inflexible staff reservations, overpriced actually getting particularly breakfast. apply dress code certain customers breakfast ask customers comply, incredibly rude inconsistent lady welcome stand. windows dirty outside, unable room properly.","Facilities"
"excellent","Facilities"
"variety snacks chocolate nice bar. small point really","Facilities"
"clean, calm setting, customer service great par level customer service asia . felt extra touches great gym facilities brilliant.","Facilities"
"maybe price worth pay high end customer service high end facilities location.","Facilities"
"hotel looks lovely experience great 10 10","Facilities"
"best hotel daughter stayed","Facilities"
"having leave","Facilities"
"friendly helpful staff","Facilities"
"complain","Facilities"
"immaculate hotel, wonderful, friendly staff you! 1st class. extra bonus able bring pet dog. thank you.","Facilities"
"100 perfect!","Facilities"
"friendly helpful staff, good location, good atmosphere.","Facilities"
"water drain sink, water pile leakage","Facilities"
"hotel gorgeous . exceptional customer service extremely comfortable . upgraded free charge suite staying celebrate daughters 30th . infinity pool area beautiful. definitely reccommend hotel special occasion .","Facilities"
"hotel just perfection. new modern lots useful features. staff fantastic provide excellent service, especially hamid passionate went extra mile make feel welcome comfortable. room comfortable great view city, equipped extremely clean.","Facilities"
"great wellbeing floor longer opening hours. steam room didnt smell fresh.","Facilities"
"lovely room , excellent breakfast, clean, pool nice.","Facilities"
"breakfast room lacked atmosphere, bar lighting inviting supposed intimate","Facilities"
"amazing hotel great facilities, clean staff helpful. definitely return future","Facilities"
"smart clean","Facilities"
"staff extremely friendly helpful. facilities excellent spotlessly clean","Facilities"
"staff amazing extremely helpful welcoming, food beautiful hotel clean maintained hotel think everything.","Facilities"
"kids allowed pool certain time. missed really looking forward it.","Facilities"
"northing apart breakfast little pricey small portions waffle like biscuit, really hard weird. perfect","Facilities"
"1. spacious room bathroom 2. nice city view 3. just 3 min. walk liverpool street station 4. dyson hair dryer nice","Facilities"
"swimming pool really nice, unfortunately closed 9 pm, wish longer like 10 pm room service team nice, sewing kit saw buttons fallen. like service there.","Facilities"
"bath tub water tub square one, hurts boyfriends standing bath tub. noticed staff desk, hope protection guests case accidents happens again.","Facilities"
"staff perfect. relaxing stay ever. trident mumbai came close great stay regular there. definitely stay im wife","Facilities"
"nothing.","Facilities"
"beautiful hotel location. 3 min walk liverpool st station, walking distance places restaurants. got room ready 1000 free late checkout 1300 excellent long trips. faster laundry service timing ironing, important travel shirt want look good.","Facilities"
"tried arrange twin beds instead kingsize double bed friend joined nights. staff communicating extremely slow booking.com like 1 email 1 working day initially upgrade options take, ran took like 3 days exchange 3 emails.","Facilities"
"absolutely immaculate hotel modern, luxurious comfortable. kindly upgraded stunning bishopsgate suite stay incredible. spacious, marble bathroom comfortable bed. amazing wellness centre best hotel gym come across. fantastic location close lots restaurants tube station. helpful, friendly staff","Facilities"
"location staff overall helpful","Facilities"
"breakfast choice limited time kids pool","Facilities"
"slight hick check in. complaining sure stay better.","Facilities"
"location, service, comfort cleanliness.","Facilities"
"air conditioning broke down. duty manager harry offered upgraderoom change declined bother moving. arranged temporary fix air remaining night. thanks again.","Facilities"
"hospitality","Facilities"
"staff beautiful room view!","Facilities"
"queuing reception","Facilities"
"staff helpful accommodating. arrived slightly earlier checkin wasnt problem soon finished desk, taken room, waiting around.","Facilities"
"exceptional good know time booking mens steam room service,also shown wellbeing facilities, wasnt mentioned us, partner went did realise. wouldnt changed minds stay nice know","Facilities"
